wind_speed,Enercon E53 800,Enercon E82 3000,Vestas V110 2000,Vestas V112 3450,Enercon E82 2000
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0
2.0,0.0025,0.001,0.0,0.0,0.0015
2.5,0.01,0.004,0.0,0.0,0.006
3.0,0.0175,0.008333333333333333,0.0,0.0,0.0125
3.5,0.0325,0.016666666666666666,0.0,0.0,0.0265
4.0,0.0475,0.02733333333333333,0.022000000000000002,0.012173913043478259,0.041
4.5,0.07125,0.04,0.06,0.026086956521739132,0.064
5.0,0.09625,0.057999999999999996,0.0975,0.04173913043478261,0.087
5.5,0.13625,0.08,0.1495,0.07478260869565218,0.1235
6.0,0.17625,0.107,0.2015,0.11014492753623188,0.1605
6.5,0.23125,0.14,0.26899999999999996,0.1608695652173913,0.213
7.0,0.285,0.17733333333333334,0.3365,0.21333333333333332,0.266
7.5,0.3525,0.22466666666666665,0.4625,0.2843478260869565,0.337
8.0,0.42,0.2716666666666667,0.588,0.3553623188405797,0.4075
8.5,0.51,0.3326666666666667,0.76,0.4527536231884058,0.499
9.0,0.6,0.3933333333333333,0.8640000000000001,0.5489855072463768,0.59
9.5,0.7025,0.46,0.9205,0.6695652173913044,0.69
10.0,0.80625,0.5266666666666666,0.9470000000000001,0.7881159420289855,0.79
10.5,0.8875,0.58,0.975,0.8869565217391304,0.8475
11.0,0.93,0.6333333333333333,0.99,0.9582608695652174,0.905
11.5,0.95625,0.6833333333333333,0.995,0.9901449275362318,0.9475
12.0,0.98125,0.7333333333333333,1.0,0.99768115942029,0.9825
12.5,1.0025,0.78,1.0,1.0,1.0
13.0,1.0125,0.8266666666666667,1.0,1.0,1.0
13.5,1.0125,0.8633333333333333,1.0,1.0,1.0
14.0,1.0125,0.9,1.0,1.0,1.0
14.5,1.0125,0.925,1.0,1.0,1.0
15.0,1.0125,0.95,1.0,1.0,1.0
15.5,1.0125,0.9666666666666668,1.0,1.0,1.0
16.0,1.0125,0.9833333333333332,1.0,1.0,1.0
16.5,1.0125,1.0,1.0,1.0,1.0
17.0,1.0125,1.0066666666666666,1.0,1.0,1.0
17.5,1.0125,1.0066666666666666,1.0,1.0,1.0
18.0,1.0125,1.0066666666666666,1.0,1.0,1.0
18.5,1.0125,1.0066666666666666,1.0,1.0,1.0
19.0,1.0125,1.0066666666666666,1.0,1.0,1.0
19.5,1.0125,1.0066666666666666,1.0,1.0,1.0
20.0,1.0125,1.0066666666666666,1.0,1.0,1.0
20.5,1.0125,1.0066666666666666,0.0,1.0,1.0
21.0,1.0125,1.0066666666666666,0.0,1.0,1.0
21.5,1.0125,1.0066666666666666,0.0,1.0,1.0
22.0,1.0125,1.0066666666666666,0.0,1.0,1.0
22.5,1.0125,1.0066666666666666,0.0,1.0,1.0
23.0,1.0125,1.0066666666666666,0.0,1.0,1.0
23.5,1.0125,1.0066666666666666,0.0,1.0,1.0
24.0,1.0125,1.0066666666666666,0.0,1.0,1.0
24.5,1.0125,1.0066666666666666,0.0,1.0,1.0
25.0,1.0125,1.0066666666666666,0.0,1.0,1.0
25.5,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0
26.5,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0
27.5,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0
28.5,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0
29.5,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0
30.5,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0
31.5,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0
32.5,0.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0
33.5,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0
34.5,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0
